Gene.stable.ID,Gene.name
ENSMUSG00000055485,SOGA1
ENSMUSG00000059208,HNRNPM
ENSMUSG00000047013,FBXO41
ENSMUSG00000074628,TLDC2
ENSMUSG00000021850,CCDC198
ENSMUSG00000027655,DHX35
ENSMUSG00000073945,OLFR618
ENSMUSG00000102681,GM37221
ENSMUSG00000096355,IGHV8-4
ENSMUSG00000026158,OGFRL1
ENSMUSG00000104205,GM37396
ENSMUSG00000037935,SMARCE1
ENSMUSG00000081270,GM11653
ENSMUSG00000102240,GM37717
ENSMUSG00000083465,GM11652
ENSMUSG00000102453,IGHV1-48
ENSMUSG00000101994,GM18875
ENSMUSG00000053580,TANC2
ENSMUSG00000060716,PLEKHH1
ENSMUSG00000101006,GM28299
ENSMUSG00000070383,OLFR389
ENSMUSG00000076710,IGHV1-49
ENSMUSG00000026019,WDR12
ENSMUSG00000102364,IGHV8-5
ENSMUSG00000025497,CDHR5
ENSMUSG00000101985,GM28929
ENSMUSG00000115389,GM48936
ENSMUSG00000073944,OLFR619
ENSMUSG00000094198,IGHV1-50
ENSMUSG00000115772,GM48935
ENSMUSG00000104176,IGHV1-51
ENSMUSG00000102940,GM37551
ENSMUSG00000068348,GM10238
ENSMUSG00000103914,GM38073
ENSMUSG00000104410,GM37066
ENSMUSG00000029536,GATC
ENSMUSG00000032440,TGFBR2
ENSMUSG00000102801,GM37478
ENSMUSG00000102521,GM37781
ENSMUSG00000093849,GM7083
ENSMUSG00000097920,GM7784
ENSMUSG00000099503,GM28822
ENSMUSG00000026723,TRDMT1
ENSMUSG00000108841,FRMPD2
ENSMUSG00000027276,JAG1
ENSMUSG00000083527,GM12001
ENSMUSG00000102864,GM37634
ENSMUSG00000026709,DARS2
ENSMUSG00000045132,OLFR620
ENSMUSG00000021120,PIGH
ENSMUSG00000029535,TRIAP1
ENSMUSG00000081315,OLFR621-PS1
ENSMUSG00000112489,9230116L04RIK
ENSMUSG00000032511,SCN5A
ENSMUSG00000100462,GM28115
ENSMUSG00000117289,1700093J21RIK
ENSMUSG00000033966,CDKL4
ENSMUSG00000022583,LY6F
ENSMUSG00000032900,TEX43
ENSMUSG00000071415,RPL23
ENSMUSG00000102657,GM37899
ENSMUSG00000092493,GM20451
ENSMUSG00000098202,B830012L14RIK
ENSMUSG00000092296,GM20454
ENSMUSG00000081250,GM15554
ENSMUSG00000026155,SMAP1
ENSMUSG00000117270,GM49953
ENSMUSG00000028681,PTCH2
ENSMUSG00000092414,GM20453
ENSMUSG00000040462,OS9
ENSMUSG00000112539,GM40787
ENSMUSG00000037537,H2-M11
ENSMUSG00000000732,ICOSL
ENSMUSG00000111926,GM46204
ENSMUSG00000118419,GM50454
ENSMUSG00000112527,GM35696
ENSMUSG00000085864,C330019F10RIK
ENSMUSG00000087555,GM13997
ENSMUSG00000101391,OLFR1217
ENSMUSG00000092332,GM8868
ENSMUSG00000117375,GM33373
ENSMUSG00000050211,PLA2G4E
ENSMUSG00000092606,GM20450
ENSMUSG00000025225,NFKB2
ENSMUSG00000040681,HMGN1
ENSMUSG00000075105,OLFR1218
ENSMUSG00000103469,GM9910
ENSMUSG00000019590,CYB561
ENSMUSG00000040181,FMO1
ENSMUSG00000095204,IGHV1-52
ENSMUSG00000106350,GM4869
ENSMUSG00000091775,GM16494
ENSMUSG00000097435,GM26783
ENSMUSG00000069818,OLFR390
ENSMUSG00000093894,IGHV1-53
ENSMUSG00000105056,GM42805
ENSMUSG00000062472,GM4945
ENSMUSG00000026017,CARF
ENSMUSG00000087574,C030037D09RIK
ENSMUSG00000070034,SP110
ENSMUSG00000059706,A830035A12RIK
ENSMUSG00000075104,OLFR1219
ENSMUSG00000003348,MOB3A
ENSMUSG00000026156,B3GAT2
ENSMUSG00000099467,GM28116
ENSMUSG00000020115,TBK1
ENSMUSG00000020721,HELZ
ENSMUSG00000101480,OLFR1220
ENSMUSG00000030851,LDHC
ENSMUSG00000024422,DHX16
ENSMUSG00000117372,GM49972
ENSMUSG00000074676,FOXS1
ENSMUSG00000097412,1810014B01RIK
ENSMUSG00000111544,4930534H03RIK
ENSMUSG00000024480,AP3S1
ENSMUSG00000050085,OLFR622
ENSMUSG00000036599,CHST12
ENSMUSG00000110870,GM47081
ENSMUSG00000113648,GM48806
ENSMUSG00000110847,GM18705
ENSMUSG00000021036,SPTLC2
ENSMUSG00000075102,OLFR1221
ENSMUSG00000041697,COX6A1
ENSMUSG00000020048,HSP90B1
ENSMUSG00000117812,GM50283
ENSMUSG00000022876,SAMSN1
ENSMUSG00000105845,GM42808
ENSMUSG00000107288,GM42903
ENSMUSG00000105633,GM32158
ENSMUSG00000118153,GM50288
ENSMUSG00000117074,GM49925
ENSMUSG00000034647,ANKRD12
ENSMUSG00000086352,4930401G09RIK
ENSMUSG00000106887,A930005G22RIK
ENSMUSG00000075101,OLFR1222
ENSMUSG00000087292,GM13832
ENSMUSG00000117129,GM49928
ENSMUSG00000099687,OLFR623
ENSMUSG00000023147,WRB
ENSMUSG00000097170,GM16982
ENSMUSG00000103277,GM37916
ENSMUSG00000104363,GM38081
ENSMUSG00000117429,A430019L02RIK
ENSMUSG00000045780,OLFR624
ENSMUSG00000002957,AP2A2
ENSMUSG00000117599,GM49971
ENSMUSG00000055214,PLD5
ENSMUSG00000067201,H2-M9
ENSMUSG00000099949,GM29124
ENSMUSG00000099918,GM28066
ENSMUSG00000073943,OLFR625-PS1
ENSMUSG00000082609,GM15464
ENSMUSG00000070382,OLFR391
ENSMUSG00000107240,GM43231
ENSMUSG00000112811,GM7422
ENSMUSG00000081038,OLFR626-PS1
ENSMUSG00000112174,GM48535
ENSMUSG00000024581,NAPG
ENSMUSG00000087214,GM15555
ENSMUSG00000111243,GM4668
ENSMUSG00000112169,GM48536
ENSMUSG00000041346,WRAP53
ENSMUSG00000027639,SAMHD1
ENSMUSG00000112410,B230217J21RIK
ENSMUSG00000111525,GM47082
ENSMUSG00000061984,OLFR392
ENSMUSG00000111591,GM47083
ENSMUSG00000111051,GM47084
ENSMUSG00000028744,PQLC2
ENSMUSG00000111782,GM47091
ENSMUSG00000027339,RASSF2
ENSMUSG00000101289,GM3454
ENSMUSG00000111657,GM31592
ENSMUSG00000111729,GM48038
ENSMUSG00000042675,YPEL3
ENSMUSG00000022704,QTRT2
ENSMUSG00000118087,4833438C02RIK
ENSMUSG00000087569,GM8464
ENSMUSG00000094505,IGHV8-6
ENSMUSG00000081233,GM12857
ENSMUSG00000085646,GM11493
ENSMUSG00000030284,CRELD1
ENSMUSG00000020130,TBC1D15
ENSMUSG00000103665,GM9227
ENSMUSG00000037126,PSD
ENSMUSG00000000532,ACVR1B
ENSMUSG00000022996,WNT10B
ENSMUSG00000038580,SCT
ENSMUSG00000118275,GM50289
ENSMUSG00000082665,GM11470
ENSMUSG00000021569,TRIP13
ENSMUSG00000094787,IGHV1-54
ENSMUSG00000083996,GM11649
ENSMUSG00000084899,GM15344
ENSMUSG00000078184,RBM8A2
ENSMUSG00000095589,IGHV1-55
ENSMUSG00000099414,GM28113
ENSMUSG00000101075,GM29517
ENSMUSG00000103737,GM7142
ENSMUSG00000035849,KRT222
ENSMUSG00000098089,GM26915
ENSMUSG00000015120,UBE2I
ENSMUSG00000094862,IGHV1-56
ENSMUSG00000116695,4930578N18RIK
ENSMUSG00000103439,GM7019
ENSMUSG00000024143,RHOQ
ENSMUSG00000102381,IGHV8-7
ENSMUSG00000054976,NYAP2
ENSMUSG00000005683,CS
ENSMUSG00000068744,PSRC1
ENSMUSG00000092485,RPL9-PS5
ENSMUSG00000022701,CCDC191
ENSMUSG00000070719,PLA2G4D
ENSMUSG00000111769,GM36278
ENSMUSG00000113831,GM49602
ENSMUSG00000082077,OLFR260-PS1
ENSMUSG00000117168,GM49908
ENSMUSG00000024145,PIGF
ENSMUSG00000110549,GM45725
ENSMUSG00000117204,C330011F03RIK
ENSMUSG00000037334,H2-M1
ENSMUSG00000057948,UNC13D
ENSMUSG00000094822,OLFR243
ENSMUSG00000111324,GM31410
ENSMUSG00000112363,GM4178
ENSMUSG00000081698,GM12329
ENSMUSG00000083948,GM7158
ENSMUSG00000117041,GM46574
ENSMUSG00000091863,CLDN34A
ENSMUSG00000117181,GM31143
ENSMUSG00000092298,GM8877
ENSMUSG00000096516,OLFR628
ENSMUSG00000117628,GM50012
ENSMUSG00000081993,GM8475
ENSMUSG00000026994,GALNT3
ENSMUSG00000083913,GM14219
ENSMUSG00000101168,GM28892
ENSMUSG00000020913,KRT24
ENSMUSG00000103976,GM37677
ENSMUSG00000047545,OLFR629
ENSMUSG00000025323,SP4
ENSMUSG00000028536,2610528J11RIK
ENSMUSG00000103614,GM37949
ENSMUSG00000024146,CRIPT
ENSMUSG00000073557,PPP1R12B
ENSMUSG00000003464,PEX19
ENSMUSG00000050281,OLFR630
ENSMUSG00000099683,GM28214
ENSMUSG00000042662,DUSP15
ENSMUSG00000104157,GM38101
ENSMUSG00000085504,GM14055
ENSMUSG00000083451,GM11445
ENSMUSG00000058662,OLFR69
ENSMUSG00000085640,GM14064
ENSMUSG00000081215,GM11446
ENSMUSG00000092377,GM20549
ENSMUSG00000115944,AU021063
ENSMUSG00000102446,GM17965
ENSMUSG00000092172,GM20523
ENSMUSG00000000531,GRASP
ENSMUSG00000061626,OLFR68
ENSMUSG00000083666,GM12358
ENSMUSG00000111964,GM8942
ENSMUSG00000085198,4933416E03RIK
ENSMUSG00000086214,GM14062
ENSMUSG00000092343,GM20525
ENSMUSG00000086558,GM14223
ENSMUSG00000104248,GM38152
ENSMUSG00000062960,KDR
ENSMUSG00000113875,D230030E09RIK
ENSMUSG00000047535,OLFR67
ENSMUSG00000083329,GM14220
ENSMUSG00000104021,GM36536
ENSMUSG00000103471,GM17966
ENSMUSG00000092435,GM20526
ENSMUSG00000071035,GM5499
ENSMUSG00000071750,GM7713
ENSMUSG00000024481,LVRN
ENSMUSG00000085250,GM15234
ENSMUSG00000114034,GM9267
ENSMUSG00000028743,AKR7A5
ENSMUSG00000112483,GM48542
ENSMUSG00000037104,SOCS5
ENSMUSG00000097915,A330009N23RIK
ENSMUSG00000112420,GM48543
ENSMUSG00000113546,GM18441
ENSMUSG00000035831,KRT25
ENSMUSG00000112358,GM33869
ENSMUSG00000036880,ACAA2
ENSMUSG00000021047,NOVA1
ENSMUSG00000071749,4933412E24RIK
ENSMUSG00000086653,9130015L21RIK
ENSMUSG00000117384,C330024C12RIK
ENSMUSG00000025496,DRD4
ENSMUSG00000074623,GM826
ENSMUSG00000100375,GM28114
ENSMUSG00000117754,RPL37A-PS2
ENSMUSG00000018841,RAD51D
ENSMUSG00000102028,GM3142
ENSMUSG00000117767,GM18786
ENSMUSG00000039914,COQ10A
ENSMUSG00000073940,HBB-BT
ENSMUSG00000074622,MAFB
ENSMUSG00000002068,CCNE1
ENSMUSG00000078956,GM14221
ENSMUSG00000053846,LIPG
ENSMUSG00000026452,SYT2
ENSMUSG00000078955,GM14222
ENSMUSG00000045009,PRRT3
ENSMUSG00000040441,SLC26A10
ENSMUSG00000029712,ACTL6B
ENSMUSG00000074846,GM10774
ENSMUSG00000078451,PPIL6
ENSMUSG00000027363,USP8
ENSMUSG00000100890,1700085C21RIK
ENSMUSG00000103387,1700030I03RIK
ENSMUSG00000102249,4930423C22RIK
ENSMUSG00000024150,MCFD2
ENSMUSG00000104380,4933436F18RIK
ENSMUSG00000118384,9030625G05RIK
ENSMUSG00000064043,TRERF1
ENSMUSG00000032786,ALAS1
ENSMUSG00000021219,RGS6
ENSMUSG00000006731,B4GALNT1
ENSMUSG00000117321,GM49927
ENSMUSG00000062328,RPL17
ENSMUSG00000024099,NDUFV2
ENSMUSG00000021091,SERPINA3N
ENSMUSG00000118507,AL807811.1
ENSMUSG00000083404,GM13019
ENSMUSG00000026728,VIM
ENSMUSG00000118144,GM50313
ENSMUSG00000021095,GSC
ENSMUSG00000052305,HBB-BS
ENSMUSG00000000339,RTCA
ENSMUSG00000034932,MRPL54
ENSMUSG00000062098,BTBD3
ENSMUSG00000080708,CCND3-PS
ENSMUSG00000083967,GM15115
ENSMUSG00000083216,HBB-BH3
ENSMUSG00000052917,SENP7
ENSMUSG00000078621,HBB-BH2
ENSMUSG00000102526,GM37785
ENSMUSG00000017999,DDX27
ENSMUSG00000031682,1700011L22RIK
ENSMUSG00000097592,4930500F10RIK
ENSMUSG00000102495,GM26524
ENSMUSG00000046971,PLA2G4F
ENSMUSG00000026154,SDHAF4
ENSMUSG00000089898,GM14199
ENSMUSG00000038366,LASP1
ENSMUSG00000075570,KRT26
ENSMUSG00000110388,GM30329
ENSMUSG00000074673,TTLL9
ENSMUSG00000055333,FAT2
ENSMUSG00000070544,TOP1
ENSMUSG00000052217,HBB-BH1
ENSMUSG00000085911,GM14061
ENSMUSG00000032604,QARS
ENSMUSG00000081009,GM14065
ENSMUSG00000017774,MYO1C
ENSMUSG00000082526,GM14067
ENSMUSG00000082285,GM14069
ENSMUSG00000030286,EMC3
ENSMUSG00000072572,SLC39A2
ENSMUSG00000112662,GM47922
ENSMUSG00000039092,SPTLC3
ENSMUSG00000004561,METTL17
ENSMUSG00000053329,GATD3A
ENSMUSG00000020681,ACE
ENSMUSG00000020722,CACNG1
ENSMUSG00000048490,NRIP1
ENSMUSG00000049411,TMEM241
ENSMUSG00000085287,4833418N02RIK
ENSMUSG00000024590,LMNB1
ENSMUSG00000027364,USP50
ENSMUSG00000002550,UCK1
ENSMUSG00000087184,GM11650
ENSMUSG00000020723,CACNG4
ENSMUSG00000090103,GM16094
ENSMUSG00000116926,GM18234
ENSMUSG00000116654,GM10823
ENSMUSG00000112708,GM8255
ENSMUSG00000116978,GM49765
ENSMUSG00000040373,CACNG5
ENSMUSG00000039254,POMT1
ENSMUSG00000056399,PRSS34
ENSMUSG00000089803,GM10171
ENSMUSG00000018844,FNDC8
ENSMUSG00000081799,GM14071
ENSMUSG00000113633,GM29689
ENSMUSG00000085071,GM14066
ENSMUSG00000050538,B230217C12RIK
ENSMUSG00000074578,ZFAS1
ENSMUSG00000017588,KRT27
ENSMUSG00000020132,RAB21
ENSMUSG00000020692,NLE1
ENSMUSG00000034667,XPOT
ENSMUSG00000087190,D430001F17RIK
ENSMUSG00000092521,GM4271
ENSMUSG00000116933,ATP5O
ENSMUSG00000055937,KRT28
ENSMUSG00000113169,GM6171
ENSMUSG00000092385,GM20401
ENSMUSG00000092460,GM8878
ENSMUSG00000085297,GM11651
ENSMUSG00000112301,GM10752
ENSMUSG00000116826,GM49682
ENSMUSG00000048562,SP8
ENSMUSG00000116999,GM18723
ENSMUSG00000110556,GM45762
ENSMUSG00000110489,GM31659
ENSMUSG00000114826,GM10000
ENSMUSG00000019761,KRT10
ENSMUSG00000037246,H2-M10.5
ENSMUSG00000112954,GM49732
ENSMUSG00000074136,4930513N10RIK
ENSMUSG00000039501,ZNFX1
ENSMUSG00000089755,0610012D04RIK
ENSMUSG00000036918,TTC7
ENSMUSG00000087240,GM15976
ENSMUSG00000085169,GM10785
ENSMUSG00000034729,MRPS10
ENSMUSG00000087692,GM11940
ENSMUSG00000036550,CNOT1
ENSMUSG00000040170,FMO2
ENSMUSG00000002059,RAB34
ENSMUSG00000022961,SON
ENSMUSG00000024242,MAP4K3
ENSMUSG00000070031,SP140
ENSMUSG00000045180,SHROOM2
ENSMUSG00000112117,RMST
ENSMUSG00000073628,GM10552
ENSMUSG00000090246,GM17017
ENSMUSG00000050854,TMEM125
ENSMUSG00000037130,H2-M10.6
ENSMUSG00000026222,SP100
ENSMUSG00000034341,WBP2
ENSMUSG00000102744,5830444F18RIK
ENSMUSG00000102212,C230085N15RIK
ENSMUSG00000101077,GM29164
ENSMUSG00000103779,GM36931
ENSMUSG00000032263,BCKDHB
ENSMUSG00000023927,SATB1
ENSMUSG00000106756,GM32780
ENSMUSG00000107020,GM6051
ENSMUSG00000029428,STX2
ENSMUSG00000020863,LUC7L3
ENSMUSG00000089701,GM15978
ENSMUSG00000029233,SRD5A3
ENSMUSG00000024101,WASHC1
ENSMUSG00000111757,GM46124
ENSMUSG00000101605,ACE3
ENSMUSG00000081946,GM11472
ENSMUSG00000112121,C230072F16RIK
ENSMUSG00000022960,DONSON
ENSMUSG00000070336,FBXO47
ENSMUSG00000071040,GM9386
ENSMUSG00000097391,MIRG
ENSMUSG00000024245,TMEM178
ENSMUSG00000084916,GM11656
ENSMUSG00000025333,GPR143
ENSMUSG00000054256,MSI1
ENSMUSG00000054517,TRIM65
ENSMUSG00000001901,KCNH6
ENSMUSG00000000049,APOH
ENSMUSG00000028730,CFAP57
ENSMUSG00000013698,PEA15A
ENSMUSG00000030699,TBX6
ENSMUSG00000020773,TRIM47
ENSMUSG00000026617,BPNT1
ENSMUSG00000023027,ATF1
ENSMUSG00000086078,GM11657
ENSMUSG00000118606,AL645535.1
ENSMUSG00000084978,GM11655
ENSMUSG00000100197,GM28638
ENSMUSG00000050965,PRKCA
ENSMUSG00000080728,GM13616
ENSMUSG00000104308,GM36971
ENSMUSG00000026554,DCAF8
ENSMUSG00000112215,GM2089
ENSMUSG00000112232,GM48578
ENSMUSG00000024246,THUMPD2
ENSMUSG00000112908,GM7392
ENSMUSG00000111984,GM46327
ENSMUSG00000110488,GM45724
ENSMUSG00000112085,GM48587
ENSMUSG00000069922,CES3A
ENSMUSG00000116968,GM49587
ENSMUSG00000091277,GM1818
ENSMUSG00000112005,GM29818
ENSMUSG00000107353,4930430O22RIK
ENSMUSG00000030697,PPP4C
ENSMUSG00000083436,GM11471
ENSMUSG00000103753,GM6934
ENSMUSG00000103216,GM37248
ENSMUSG00000085700,HBB-BH0
ENSMUSG00000058240,CRYZL1
ENSMUSG00000102973,E430014B02RIK
ENSMUSG00000020912,KRT12
ENSMUSG00000028741,MRTO4
ENSMUSG00000084890,A830036E02RIK
ENSMUSG00000050556,KCNB1
ENSMUSG00000041415,DICER1
ENSMUSG00000036557,STPG4
ENSMUSG00000074766,ISM1
ENSMUSG00000087597,GM15345
ENSMUSG00000066842,HMCN1
ENSMUSG00000117917,GM18087
ENSMUSG00000085151,1110018N20RIK
ENSMUSG00000032656,MARCH3
ENSMUSG00000108639,AC124542.1
ENSMUSG00000102029,GM29530
ENSMUSG00000086098,GM14291
ENSMUSG00000098099,GM7456
ENSMUSG00000017969,PTGIS
ENSMUSG00000112651,GM18623
ENSMUSG00000036586,GRIFIN
ENSMUSG00000112763,GM34304
ENSMUSG00000022487,GTSF1
ENSMUSG00000019818,CD164
ENSMUSG00000014498,ANKRD52
ENSMUSG00000075100,OLFR1223
ENSMUSG00000018593,SPARC
ENSMUSG00000091534,GM17195
ENSMUSG00000111929,GM48780
ENSMUSG00000021124,VTI1B
ENSMUSG00000072791,ABCB5
ENSMUSG00000083661,GM11473
ENSMUSG00000020884,ASGR1
ENSMUSG00000052187,HBB-Y
ENSMUSG00000057335,CEP170
ENSMUSG00000020775,MRPL38
ENSMUSG00000026429,UBE2T
ENSMUSG00000091507,GM17194
ENSMUSG00000021125,ARG2
ENSMUSG00000095576,FMO6
ENSMUSG00000114030,GM18921
ENSMUSG00000090761,GM17201
ENSMUSG00000025374,NABP2
ENSMUSG00000040043,RBMS2
ENSMUSG00000025785,EXOSC7
ENSMUSG00000048191,MUC6
ENSMUSG00000103288,GM37273
ENSMUSG00000083440,RPL7A-PS12
ENSMUSG00000071890,MROH9
ENSMUSG00000095597,GM6472
ENSMUSG00000103906,TIGD5
ENSMUSG00000017929,B4GALT5
ENSMUSG00000020647,NCOA1
ENSMUSG00000026691,FMO3
ENSMUSG00000022957,ITSN1
ENSMUSG00000105992,GM43651
ENSMUSG00000000340,DBT
ENSMUSG00000085303,GM16751
ENSMUSG00000024171,PRSS28
ENSMUSG00000098889,GM27206
ENSMUSG00000035877,ZHX3
ENSMUSG00000082394,GM4596
ENSMUSG00000067215,USP51
ENSMUSG00000024457,TRIM26
ENSMUSG00000081854,GM11447
ENSMUSG00000035270,IMPG2
ENSMUSG00000022571,PYCRL
ENSMUSG00000093650,GM20631
ENSMUSG00000104861,3110039M20RIK
ENSMUSG00000022523,FGF12
ENSMUSG00000050299,GM9843
ENSMUSG00000103634,3110062G12RIK
ENSMUSG00000103435,GM36992
ENSMUSG00000109338,GM45030
ENSMUSG00000047238,MAGEH1
ENSMUSG00000016933,PLCG1
ENSMUSG00000020950,FOXG1
ENSMUSG00000104154,GM38104
ENSMUSG00000116701,GM30726
ENSMUSG00000085982,9530051G07RIK
ENSMUSG00000039463,SLC9A8
ENSMUSG00000108903,GM45029
ENSMUSG00000035775,KRT20
ENSMUSG00000089922,GM43517
ENSMUSG00000109333,GM30790
ENSMUSG00000039878,SLC39A5
ENSMUSG00000113711,GM9661
ENSMUSG00000107548,GM43866
ENSMUSG00000030324,RHO
ENSMUSG00000086917,GM11630
ENSMUSG00000098040,GM20757
ENSMUSG00000075099,OLFR1224-PS1
ENSMUSG00000111776,GM47124
ENSMUSG00000029430,RAN
ENSMUSG00000111104,GM8512
ENSMUSG00000100857,1700041M19RIK
ENSMUSG00000045275,LCA5L
ENSMUSG00000105699,GM43703
ENSMUSG00000032834,PWP2
ENSMUSG00000039033,TASP1
ENSMUSG00000101918,OLFR1225
ENSMUSG00000116807,GM7501
ENSMUSG00000102036,1700063K16RIK
ENSMUSG00000082581,GM13761
ENSMUSG00000113625,GM3379
ENSMUSG00000097261,4930532G15RIK
ENSMUSG00000112940,4930511J24RIK
ENSMUSG00000110794,4930401A07RIK
ENSMUSG00000075097,OLFR1226
ENSMUSG00000044122,PROCA1
ENSMUSG00000113063,GM34667
ENSMUSG00000027456,SDCBP2
ENSMUSG00000034947,TMEM106A
ENSMUSG00000084275,GM5396
ENSMUSG00000113042,GM47188
ENSMUSG00000029570,LFNG
ENSMUSG00000113868,GM34719
ENSMUSG00000111916,4921501I09RIK
ENSMUSG00000113217,GM47187
ENSMUSG00000111604,GM18043
ENSMUSG00000112553,GM4556
ENSMUSG00000111759,GM4800
ENSMUSG00000082990,GM14052
ENSMUSG00000042793,LGR6
ENSMUSG00000083854,DNAJC19-PS
ENSMUSG00000111121,GM3523
ENSMUSG00000058200,OLFR66
ENSMUSG00000027340,SLC23A2
ENSMUSG00000084913,GM7616
ENSMUSG00000111470,GM31822
ENSMUSG00000113331,3110009F21RIK
ENSMUSG00000084847,GM15507
ENSMUSG00000023259,SLC26A6
ENSMUSG00000024404,RIOK3
ENSMUSG00000032292,NR2E3
ENSMUSG00000111787,GM5035
ENSMUSG00000023034,NR4A1
ENSMUSG00000111557,GM18164
ENSMUSG00000111095,GM18165
ENSMUSG00000090561,GM17207
ENSMUSG00000111578,GM18166
ENSMUSG00000086376,1700071G01RIK
ENSMUSG00000069520,TMEM19
ENSMUSG00000111460,OLFR1227-PS1
ENSMUSG00000107109,GM42571
ENSMUSG00000099486,OLFR1228
ENSMUSG00000020173,COBL
ENSMUSG00000070733,FRYL
ENSMUSG00000111490,GM47159
ENSMUSG00000116998,GM21050
ENSMUSG00000102950,GM37018
ENSMUSG00000103317,GM38359
ENSMUSG00000025784,CLEC3B
ENSMUSG00000113733,GM34785
ENSMUSG00000103722,2700078F05RIK
ENSMUSG00000036565,TTYH3
ENSMUSG00000102760,GM37258
ENSMUSG00000086756,GM14051
ENSMUSG00000113193,GM40576
ENSMUSG00000098118,GM26960
ENSMUSG00000113605,4930425K24RIK
ENSMUSG00000034437,GM9761
ENSMUSG00000023979,GUCA1B
ENSMUSG00000045631,TMPRSS12
ENSMUSG00000022995,ENAH
ENSMUSG00000071665,FOXR2
ENSMUSG00000027472,PDRG1
ENSMUSG00000075707,DIO3
ENSMUSG00000113581,DIO3OS
ENSMUSG00000104029,GM37210
ENSMUSG00000101986,GM6198
ENSMUSG00000117630,GM49973
ENSMUSG00000099622,GM29188
ENSMUSG00000087008,GM5530
ENSMUSG00000017417,PLXDC1
ENSMUSG00000077450,RAB11B
ENSMUSG00000073568,ARL14EPL
ENSMUSG00000100561,GM7516
ENSMUSG00000111432,GM47993
ENSMUSG00000103571,GM37114
ENSMUSG00000019988,NEDD1
ENSMUSG00000117411,GM3744
ENSMUSG00000117588,GM49974
ENSMUSG00000034039,PRSS29
ENSMUSG00000027412,LPIN3
ENSMUSG00000055980,IRS1
ENSMUSG00000084207,GM14070
ENSMUSG00000117513,GM3946
ENSMUSG00000117622,GM20026
ENSMUSG00000024187,FAM234A
ENSMUSG00000006777,KRT23
ENSMUSG00000035842,DDX11
ENSMUSG00000018585,ATOX1
ENSMUSG00000059552,TRP53
ENSMUSG00000064165,KRT39
ENSMUSG00000107171,GM42572
ENSMUSG00000036167,PPHLN1
ENSMUSG00000090952,GM17251
ENSMUSG00000053168,9030619P08RIK
ENSMUSG00000080006,RPS19-PS7
ENSMUSG00000111740,GM49783
ENSMUSG00000083110,GM14073
ENSMUSG00000059169,KRT40
ENSMUSG00000025321,ITGB8
ENSMUSG00000034848,TTC21B
ENSMUSG00000073771,BTBD19
ENSMUSG00000020776,FBF1
ENSMUSG00000069722,KRTAP3-3
ENSMUSG00000044937,TTC41
ENSMUSG00000103358,GM37593
ENSMUSG00000054404,SLFN5
ENSMUSG00000082715,GM11633
ENSMUSG00000022639,DUBR
ENSMUSG00000103102,GM37049
ENSMUSG00000085486,GM11634
ENSMUSG00000021908,GM6768
ENSMUSG00000045624,ESF1
ENSMUSG00000108931,OLFR1284
ENSMUSG00000042631,XKR7
ENSMUSG00000113790,GM17872
ENSMUSG00000023982,GUCA1A
ENSMUSG00000050747,TRIM15
ENSMUSG00000018845,UNC45B
ENSMUSG00000086617,GM11635
ENSMUSG00000096361,GM5814
ENSMUSG00000073424,CYP4F15
ENSMUSG00000047150,1700001C19RIK
ENSMUSG00000030447,CYFIP1
ENSMUSG00000118471,GM50461
ENSMUSG00000034382,AI661453
ENSMUSG00000069721,KRTAP3-2
ENSMUSG00000056366,FABP3-PS1
ENSMUSG00000025268,MAGED2
ENSMUSG00000054027,NT5DC3
ENSMUSG00000102600,GM37266
ENSMUSG00000078132,GM11939
ENSMUSG00000103378,GM37176
ENSMUSG00000036438,CALM2
ENSMUSG00000026615,EPRS
ENSMUSG00000047564,KRTAP3-1
ENSMUSG00000117175,GM20098
ENSMUSG00000112743,GM49358
ENSMUSG00000047642,D930020B18RIK
ENSMUSG00000116182,GM33666
ENSMUSG00000020137,THAP2
ENSMUSG00000047253,KRTAP1-5
ENSMUSG00000109521,OLFR1285
ENSMUSG00000087651,1500009L16RIK
ENSMUSG00000117170,GM19197
ENSMUSG00000100150,GM19585
ENSMUSG00000035498,CDCP1
ENSMUSG00000086671,GM13618
ENSMUSG00000075567,KRTAP1-4
ENSMUSG00000117545,GM30794
ENSMUSG00000096703,OLFR1286
ENSMUSG00000020864,ANKRD40
ENSMUSG00000081107,GM12235
ENSMUSG00000078131,KRTAP1-3
ENSMUSG00000117486,GM30938
ENSMUSG00000038352,ARL5C
ENSMUSG00000100847,GM28676
ENSMUSG00000036299,BC031181
ENSMUSG00000049809,KRTAP9-3
ENSMUSG00000117361,GM30984
ENSMUSG00000092276,1700116B05RIK
ENSMUSG00000117076,GM41600
ENSMUSG00000117414,GM46587
ENSMUSG00000117033,GM49912
ENSMUSG00000112077,GM47245
ENSMUSG00000112526,GM35865
ENSMUSG00000057674,GM11938
ENSMUSG00000095586,OLFR1287
ENSMUSG00000099574,1700121L03RIK
ENSMUSG00000053684,BC048403
ENSMUSG00000058725,GM11937
ENSMUSG00000116706,GM32431
ENSMUSG00000045394,EPCAM
ENSMUSG00000086327,SLFN5OS
ENSMUSG00000112133,GM47247
ENSMUSG00000117035,GM5094
ENSMUSG00000098552,GM27217
ENSMUSG00000086058,UNC45BOS
ENSMUSG00000044039,OLFR1288
ENSMUSG00000102628,GM37671
ENSMUSG00000060756,KRTAP2-4
